url,type,forms,inputs,iframes,scripts,images,buttons,domDepth,maxChildren,titleLength,onmouseoverEvents,externalResourceRatio,inlineStyles,phishingKeywordHits,usesHTTPS,hasEval
https://marketamplifiedclaimreport.vercel.app/help&support,phishing,0,0,0,1,0,0,5,4,7,0,0.0,0,0,True,0
https://sso--ndax-io---view-app---cdn.webflow.io/,phishing,0,0,0,3,3,0,5,16,51,0,0.8888888888888888,1,2,True,0
http://grminilogine.webflow.io/,phishing,0,0,0,0,0,0,8,6,20,0,1.0,0,0,False,0
https://www.at.every.sign.on.bendigodeliade.com/,phishing,0,1,0,11,0,0,8,18,12,0,0.9285714285714286,2,1,True,0
http://test.imaptravel.com/,phishing,1,2,0,1,3,2,10,5,33,0,0.75,0,0,False,0
https://2d4a5379-3797-4246-940f-e832984473f2-00-22lw1d0e9uoje.pike.replit.dev/,phishing,2,3,0,1,1,2,9,7,18,0,0.5,9,0,True,0
https://adetts-marvelous-site.webflow.io/,phishing,1,4,0,4,3,0,12,10,22,0,0.9,1,1,True,0
http://gaimieinylogin.webflow.io/,phishing,0,0,0,0,0,0,8,6,20,0,1.0,0,0,False,0
https://discord.botcheck-verify.com/,phishing,1,1,0,3,0,2,11,9,36,0,0.25,7,0,True,0
http://syncdap.pages.dev/,phishing,0,0,0,5,0,1,10,11,36,0,0.3333333333333333,5,0,False,0
https://marketproslegalprotection.vercel.app/zL20=vMDFj&s&sde34ntry=ttu&78g_ep=EgoyMDI1MDM,phishing,4,9,0,4,16,9,14,34,31,0,0.8695652173913043,25,19,True,0
http://dhl-express-idhfwimbqvycvbxdqextfdcn.pages.dev/,phishing,0,0,0,5,0,1,10,11,36,0,0.3333333333333333,5,0,False,0
https://usc1.contabostorage.com/a4293fe68f2f47c3b6a6cd82b0db8170:conla/index.html,phishing,1,2,0,10,3,2,12,11,23,0,0.8823529411764706,17,8,True,0
https://emktlw.com.br/accounts/198400/messages/3/clicks/59449/2,phishing,0,0,0,0,1,0,7,5,50,0,1.0,0,0,True,0
http://discord.authcheckzone.com/,phishing,0,1,0,4,3,3,8,8,7,0,0.7777777777777778,11,7,False,0
http://auth-blockfi-console.webflow.io/,phishing,0,0,0,0,0,0,8,6,20,0,1.0,0,0,False,0
http://dhl-express-ujgnfbploinpdysoczrldoix.pages.dev/,phishing,0,0,0,5,0,1,10,11,36,0,0.3333333333333333,5,0,False,0
